period,unit,break_date,meeting_index,share_before,share_after,direction,nearest_event,event_date,days_to_event,within_1_meeting,responsible_sentence
T3,will,2012-06-20,19,0.984,0.856,down,QE3 ends,2014-10-29,861,False,"Inflation has moved up recently, but the Committee anticipates that inflation will subside to levels at or below those consistent with the Committee's dual mandate as the effects of past energy and other commodity price increases dissipate."
T3,will,2015-12-16,47,0.705,0.89,up,First hike (liftoff),2015-12-16,0,True,"The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will continue to expand at a moderate pace and labor market indicators will continue to strengthen."
T3,will,2020-09-16,87,0.952,0.753,down,New framework,2020-08-27,20,True,"The Committee will continue to monitor the implications of incoming information for the economic outlook, including global developments and muted inflation pressures, as it assesses the appropriate path of the target range for the federal f"
T3,could,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.
T3,would,2020-09-16,87,0.0,0.13,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.
T3,should,2012-06-20,19,0.016,0.115,up,QE3 ends,2014-10-29,861,False,This continuation of the maturity extension program should put downward pressure on longer-term interest rates and help to make broader financial conditions more accommodative.
T3,should,2017-06-14,59,0.107,0.0,down,Normalization addendum,2017-06-14,0,True,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions."
T3,may,2014-07-30,36,0.029,0.114,up,QE3 ends,2014-10-29,91,False,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as norm"
T3,may,2015-12-16,47,0.138,0.0,down,First hike (liftoff),2015-12-16,0,True,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as norm"
T3,may,2019-01-30,72,0.0,0.094,up,Mid-cycle cut,2019-07-31,182,False,"In light of global economic and financial developments and muted inflation pressures, the Committee will be patient as it determines what future adjustments to the target range for the federal funds rate may be appropriate to support these "
T3,may,2019-07-31,76,0.094,0.018,down,Mid-cycle cut,2019-07-31,0,True,"In light of global economic and financial developments and muted inflation pressures, the Committee will be patient as it determines what future adjustments to the target range for the federal funds rate may be appropriate to support these "
T3,may,2023-03-22,107,0.0,0.112,up,Last hike,2023-07-26,126,False,The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.
T3,may,2024-01-31,114,0.112,0.0,down,Last hike,2023-07-26,189,False,The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.
T3,can,2014-09-17,37,0.0,0.033,up,QE3 ends,2014-10-29,42,True,"Based on its current assessment, the Committee judges that it can be patient in beginning to normalize the stance of monetary policy."
T3,can,2015-03-18,41,0.033,0.0,down,QE3 ends,2014-10-29,140,False,"Based on its current assessment, the Committee judges that it can be patient in beginning to normalize the stance of monetary policy."
T3,can,2020-01-29,80,0.0,0.03,up,Pandemic ZLB,2020-03-15,46,True,More information can be found on the Federal Reserve Board's website .
T3,can,2020-04-29,84,0.03,0.0,down,Pandemic ZLB,2020-03-15,45,True,More information can be found on the Federal Reserve Board's website .
