period,unit,break_date,meeting_index,share_before,share_after,direction,nearest_event,event_date,days_to_event,within_1_meeting,sentence_after,sentence_before
T1,will+continue,2019-07-31,44,0.031,0.26,up,Mid-cycle cut,2019-07-31,0,True,"As the Committee contemplates the future path of the target range for the federal funds rate, it will continue to monitor the implications of incoming information for the economic outlook and will act as appropriate to s",
T1,will+take,2014-10-29,6,0.116,0.251,up,QE3 ends,2014-10-29,0,True,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",
T1,will+take,2015-12-16,15,0.248,0.11,down,First hike (liftoff),2015-12-16,0,True,,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments."
T1,will+take,2018-06-13,35,0.117,0.292,up,Powell chair,2018-02-05,128,False,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international",
T1,will+take,2020-03-03,49,0.275,0.085,down,Pandemic ZLB,2020-03-15,12,True,,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international"
T1,will+take,2022-03-16,67,0.119,0.22,up,Hiking cycle begins,2022-03-16,0,True,"The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and internationa",
T1,will+assess,2018-06-13,35,0.117,0.292,up,Powell chair,2018-02-05,128,False,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective an",
T1,will+assess,2020-03-03,49,0.275,0.075,down,Pandemic ZLB,2020-03-15,12,True,,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective an"
T1,will+assess,2024-01-31,82,0.0,0.146,up,Last hike,2023-07-26,189,False,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks.",
T1,could+impede,2020-09-16,55,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,
T1,would+be+prepared,2020-09-16,55,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,
T1,will+be+appropriate,2015-12-16,15,0.12,0.0,down,First hike (liftoff),2015-12-16,0,True,,The Committee sees this guidance as consistent with its previous statement that it likely will be appropriate to maintain the 0 to 1/4 percent target range for the federal funds rate for a considerable time following the
T1,will+be+appropriate,2020-09-16,55,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent ,
T1,will+be+appropriate,2023-03-22,75,0.166,0.018,down,Last hike,2023-07-26,126,False,,"In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate."
T1,will+expand,2018-06-13,35,0.117,0.0,down,Powell chair,2018-02-05,128,False,,"The Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace, and labor market conditions will strengthen somewhat further."
T1,will+monitor,2015-12-16,15,0.0,0.11,up,First hike (liftoff),2015-12-16,0,True,"In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal.",
T1,will+monitor,2018-06-13,35,0.117,0.0,down,Powell chair,2018-02-05,128,False,,The Committee will carefully monitor actual and expected inflation developments relative to its symmetric inflation goal.
T1,will+depend,2015-12-16,15,0.0,0.11,up,First hike (liftoff),2015-12-16,0,True,"However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.",
T1,will+depend,2018-06-13,35,0.117,0.0,down,Powell chair,2018-02-05,128,False,,"However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data."
T1,will+depend,2020-07-29,54,0.0,0.116,up,New framework,2020-08-27,29,True,The path of the economy will depend significantly on the course of the virus.,
T1,will+depend,2021-07-28,62,0.116,0.0,down,Hiking cycle begins,2022-03-16,231,False,,The path of the economy will depend significantly on the course of the virus.
T1,should+help,2014-10-29,6,0.0,0.125,up,QE3 ends,2014-10-29,0,True,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",
T1,should+help,2017-06-14,27,0.107,0.0,down,Normalization addendum,2017-06-14,0,True,,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions."
T1,may+warrant,2014-10-29,6,0.053,0.125,up,QE3 ends,2014-10-29,0,True,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Com",
T1,may+warrant,2015-12-16,15,0.124,0.0,down,First hike (liftoff),2015-12-16,0,True,,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Com"
