doc_type,modal,sem_type,n,share
minutes,can,dynamic_ability,1,0.011904761904761904
minutes,can,dynamic_circumstantial,72,0.8571428571428571
minutes,can,epistemic_possibility,11,0.13095238095238096
minutes,could,dynamic_ability,97,0.05846895720313442
minutes,could,epistemic_possibility,1562,0.9415310427968656
minutes,may,deontic_permission,1,0.00199203187250996
minutes,may,epistemic_possibility,501,0.99800796812749
minutes,should,deontic_advisability,285,0.7251908396946565
minutes,should,epistemic_expectation,108,0.2748091603053435
minutes,will,dynamic_volitional,344,0.3878241262683202
minutes,will,epistemic_predictive,543,0.6121758737316798
minutes,would,conditional_hypothetical,1202,0.3380202474690664
minutes,would,dynamic_tentative,1,0.00028121484814398203
minutes,would,dynamic_volitional_conditional,86,0.024184476940382452
minutes,would,reported_backshift,2267,0.6375140607424072
press_conf,can,dynamic_ability,1378,0.6917670682730924
press_conf,can,dynamic_circumstantial,507,0.2545180722891566
press_conf,can,epistemic_possibility,107,0.053714859437751006
press_conf,could,dynamic_ability,538,0.4438943894389439
press_conf,could,epistemic_possibility,674,0.5561056105610561
press_conf,may,deontic_permission,6,0.010309278350515464
press_conf,may,epistemic_possibility,576,0.9896907216494846
press_conf,should,deontic_advisability,536,0.7745664739884393
press_conf,should,epistemic_expectation,156,0.2254335260115607
press_conf,will,dynamic_volitional,2478,0.5128311258278145
press_conf,will,epistemic_predictive,2354,0.4871688741721854
press_conf,would,conditional_hypothetical,1540,0.3937611863973408
press_conf,would,dynamic_tentative,824,0.21068780363078496
press_conf,would,dynamic_volitional_conditional,910,0.23267706468933777
press_conf,would,reported_backshift,637,0.16287394528253643
speech,can,dynamic_ability,184,0.3222416812609457
speech,can,dynamic_circumstantial,337,0.5901926444833625
speech,can,epistemic_possibility,50,0.08756567425569177
speech,could,dynamic_ability,60,0.15544041450777202
speech,could,epistemic_possibility,326,0.844559585492228
speech,may,deontic_permission,3,0.00683371298405467
speech,may,epistemic_possibility,436,0.9931662870159453
speech,should,deontic_advisability,199,0.8728070175438597
speech,should,epistemic_expectation,29,0.12719298245614036
speech,will,dynamic_volitional,494,0.4026079869600652
speech,will,epistemic_predictive,733,0.5973920130399348
speech,would,conditional_hypothetical,446,0.6798780487804879
speech,would,dynamic_tentative,54,0.08231707317073171
speech,would,dynamic_volitional_conditional,50,0.07621951219512195
speech,would,reported_backshift,106,0.16158536585365854
statement,can,dynamic_circumstantial,2,0.5
statement,can,epistemic_possibility,2,0.5
statement,could,epistemic_possibility,50,1.0
statement,may,epistemic_possibility,27,1.0
statement,should,deontic_advisability,4,0.10526315789473684
statement,should,epistemic_expectation,34,0.8947368421052632
statement,will,dynamic_volitional,281,0.4591503267973856
statement,will,epistemic_predictive,331,0.5408496732026143
statement,would,conditional_hypothetical,47,0.9591836734693877
statement,would,reported_backshift,2,0.04081632653061224
