doc_id,doc_type,date,chair,layer,section,speaker,sent_id,n_tok,modal,surface,contracted,head_verb,head_verb_surface,head_pos,head_tag,be_comp,be_comp_type,be_xcomp,predicate,neg,passive,perfect,progressive,subj_text,subj_lemma,subj_type,cond,reported,question,modal_idx,sentence
statement_20100127,statement,2010-01-27,Bernanke,statement,,,8,53,will,will,False,maintain,maintain,VERB,VB,,,,maintain,False,False,False,False,Committee,committee,committee,False,False,False,2,"The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period."
statement_20100127,statement,2010-01-27,Bernanke,statement,,,10,35,will,will,False,execute,executed,VERB,VBN,,,,execute,False,True,False,False,transactions,transaction,other,False,True,False,27,"In order to promote a smooth transition in markets, the Committee is gradually slowing the pace of these purchases, and it anticipates that these transactions will be executed by the end of the first quarter."
statement_20100127,statement,2010-01-27,Bernanke,statement,,,11,22,will,will,False,continue,continue,VERB,VB,,,,continue,False,False,False,False,Committee,committee,committee,False,False,False,2,The Committee will continue to evaluate its purchases of securities in light of the evolving economic outlook and conditions in financial markets.
statement_20100127,statement,2010-01-27,Bernanke,statement,,,12,47,will,will,False,close,closing,VERB,VBG,,,,close,False,False,False,True,Reserve,reserve,fed,False,False,False,12,"In light of improved functioning of financial markets, the Federal Reserve will be closing the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility, the Commercial Paper Funding Facility, the Primary Dealer Credit Facility, and the Term Securities Lending Facility on February 1, as previously announced."
statement_20100127,statement,2010-01-27,Bernanke,statement,,,13,20,will,will,False,expire,expire,VERB,VB,,,,expire,False,False,False,False,arrangements,arrangement,fed,False,False,False,16,"In addition, the temporary liquidity swap arrangements between the Federal Reserve and other central banks will expire on February 1."
statement_20100127,statement,2010-01-27,Bernanke,statement,,,14,45,will,will,False,offer,offered,VERB,VBN,,,,offer,False,True,False,False,billion,billion,econ,False,False,False,23,The Federal Reserve is in the process of winding down its Term Auction Facility: $50 billion in 28-day credit will be offered on February 8 and $25 billion in 28-day credit will be offered at the final auction on March 8.
statement_20100127,statement,2010-01-27,Bernanke,statement,,,14,45,will,will,False,offer,offered,VERB,VBN,,,,offer,False,True,False,False,billion,billion,econ,False,False,False,38,The Federal Reserve is in the process of winding down its Term Auction Facility: $50 billion in 28-day credit will be offered on February 8 and $25 billion in 28-day credit will be offered at the final auction on March 8.
statement_20100316,statement,2010-03-16,Bernanke,statement,,,8,53,will,will,False,maintain,maintain,VERB,VB,,,,maintain,False,False,False,False,Committee,committee,committee,False,False,False,2,"The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period."
statement_20100316,statement,2010-03-16,Bernanke,statement,,,9,58,will,will,False,execute,executed,VERB,VBN,,,,execute,False,True,False,False,transactions,transaction,other,False,False,False,53,"To provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets, the Federal Reserve has been purchasing $1.25 trillion of agency mortgage-backed securities and about $175 billion of agency debt; those purchases are nearing completion, and the remaining transactions will be executed by the end of this month."
statement_20100316,statement,2010-03-16,Bernanke,statement,,,10,27,will,will,False,continue,continue,VERB,VB,,,,continue,False,False,False,False,Committee,committee,committee,False,False,False,2,The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to promote economic recovery and price stability.
