canon,n_statements,first,last,example,modals,n_runs,n_meetings
this assessment will take into account a wide range of information including measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments,52,2014-03-19,2020-07-29,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",will,3,52
in assessing the appropriate stance of monetary policy the committee will continue to monitor the implications of incoming information for the economic outlook,46,2020-09-16,2026-04-29,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook.",will,1,46
the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee s goals,46,2020-09-16,2026-04-29,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,"could,would",1,46
the committee s assessments will take into account a wide range of information including readings on public health labor market conditions inflation pressures and inflation expectations and financial and international developments,46,2020-09-16,2026-04-29,"The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",will,1,46
this policy by keeping the committee s holdings of longer term securities at sizable levels should help maintain accommodative financial conditions,21,2014-10-29,2017-05-03,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",should,1,21
the committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate the federal funds rate is likely to remain for some time below levels that are expected to prevail in the longer run,20,2015-12-16,2018-05-02,"The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run.",will,1,20
however the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data,20,2015-12-16,2018-05-02,"However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.",will,1,20
in determining the timing and size of future adjustments to the target range for the federal funds rate the committee will assess realized and expected economic conditions relative to its objectives of maximum employment and # percent inflation,20,2015-12-16,2018-05-02,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation.",will,1,20
in determining the timing and size of future adjustments to the target range for the federal funds rate the committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric # percent inflation objective,18,2018-06-13,2020-07-29,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective.",will,3,18
when the committee decides to begin to remove policy accommodation it will take a balanced approach consistent with its longer run goals of maximum employment and inflation of # percent,15,2014-01-29,2015-10-28,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent.",will,1,15
the committee currently anticipates that even after employment and inflation are near mandate consistent levels economic conditions may for some time warrant keeping the target federal funds rate below levels the committee views as normal in the longer run,14,2014-03-19,2015-10-28,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.",may,1,14
in addition the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage backed securities as described in its previously announced plans,13,2023-02-01,2024-07-31,"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans.",will,1,13
in determining how long to maintain the current # to # # percent target range for the federal funds rate the committee will assess progress both realized and expected toward its objectives of maximum employment and # percent inflation,13,2014-03-19,2015-09-17,"In determining how long to maintain the current 0 to 1/4 percent target range for the federal funds rate, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation.",will,1,13
