doc_id,midx,date,sent_id,sentence,key,canon,n_statements,formulaic
statement_20140129,0,2014-01-29,7,"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its dual mandate.",the committee expects that with appropriate policy accommodation economic activity will expand at a moderate pace and the unemployment rate will gradually decline toward levels the committee judges consistent with its dual mandate,the committee expects that with appropriate policy accommodation economic activity will expand at a moderate pace and the unemployment rate will gradually decline toward levels the committee judges consistent with its dual mandate,1,False
statement_20140129,0,2014-01-29,9,"The Committee recognizes that inflation persistently below its 2 percent objective could pose risks to economic performance, and it is monitoring inflation developments carefully for evidence that inflation will move back toward its objective over the medium term.",the committee recognizes that inflation persistently below its # percent objective could pose risks to economic performance and it is monitoring inflation developments carefully for evidence that inflation will move back toward its objective over the medium term,the committee recognizes that inflation persistently below its # percent objective could pose risks to economic performance and it is monitoring inflation developments carefully for evidence that inflation will move back toward its objective over the medium term,4,True
statement_20140129,0,2014-01-29,12,"Beginning in February, the Committee will add to its holdings of agency mortgage-backed securities at a pace of $30 billion per month rather than $35 billion per month, and will add to its holdings of longer-term Treasury securities at a pace of $35 billion per month rather than $40 billion per month.",beginning in february the committee will add to its holdings of agency mortgage backed securities at a pace of # billion per month rather than # billion per month and will add to its holdings of longer term treasury securities at a pace of # billion per month rather than # billion per month,beginning in february the committee will add to its holdings of agency mortgage backed securities at a pace of # billion per month rather than # billion per month and will add to its holdings of longer term treasury securities at a pace of # billion per month rather than # billion per month,2,False
statement_20140129,0,2014-01-29,14,"The Committee's sizable and still-increasing holdings of longer-term securities should maintain downward pressure on longer-term interest rates, support mortgage markets, and help to make broader financial conditions more accommodative, which in turn should promote a stronger economic recovery and help to ensure that inflation, over time, is at the rate most consistent with the Committee's dual mandate.",the committee s sizable and still increasing holdings of longer term securities should maintain downward pressure on longer term interest rates support mortgage markets and help to make broader financial conditions more accommodative which in turn should promote a stronger economic recovery and help to ensure that inflation over time is at the rate most consistent with the committee s dual mandate,the committee s sizable and still increasing holdings of longer term securities should maintain downward pressure on longer term interest rates support mortgage markets and help to make broader financial conditions more accommodative which in turn should promote a stronger economic recovery and help to ensure that inflation over time is at the rate most consistent with the committee s dual mandate,6,True
statement_20140129,0,2014-01-29,15,"The Committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of Treasury and agency mortgage-backed securities, and employ its other policy tools as appropriate, until the outlook for the labor market has improved substantially in a context of price stability.",the committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of treasury and agency mortgage backed securities and employ its other policy tools as appropriate until the outlook for the labor market has improved substantially in a context of price stability,the committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of treasury and agency mortgage backed securities and employ its other policy tools as appropriate until the outlook for the labor market has improved substantially in a context of price stability,6,True
statement_20140129,0,2014-01-29,16,"If incoming information broadly supports the Committee's expectation of ongoing improvement in labor market conditions and inflation moving back toward its longer-run objective, the Committee will likely reduce the pace of asset purchases in further measured steps at future meetings.",if incoming information broadly supports the committee s expectation of ongoing improvement in labor market conditions and inflation moving back toward its longer run objective the committee will likely reduce the pace of asset purchases in further measured steps at future meetings,if incoming information broadly supports the committee s expectation of ongoing improvement in labor market conditions and inflation moving back toward its longer run objective the committee will likely reduce the pace of asset purchases in further measured steps at future meetings,5,True
statement_20140129,0,2014-01-29,17,"However, asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases.",however asset purchases are not on a preset course and the committee s decisions about their pace will remain contingent on the committee s outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases,however asset purchases are not on a preset course and the committee s decisions about their pace will remain contingent on the committee s outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases,6,True
statement_20140129,0,2014-01-29,18,"To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.",to support continued progress toward maximum employment and price stability the committee today reaffirmed its view that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens,to support continued progress toward maximum employment and price stability the committee today reaffirmed its view that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens,1,False
statement_20140129,0,2014-01-29,19,"The Committee also reaffirmed its expectation that the current exceptionally low target range for the federal funds rate of 0 to 1/4 percent will be appropriate at least as long as the unemployment rate remains above 6-1/2 percent, inflation between one and two years ahead is projected to be no more than a half percentage point above the Committee's 2 percent longer-run goal, and longer-term inflation expectations continue to be well anchored.",the committee also reaffirmed its expectation that the current exceptionally low target range for the federal funds rate of # to # # percent will be appropriate at least as long as the unemployment rate remains above # # # percent inflation between one and two years ahead is projected to be no more than a half percentage point above the committee s # percent longer run goal and longer term inflation expectations continue to be well anchored,the committee also reaffirmed its expectation that the current exceptionally low target range for the federal funds rate of # to # # percent will be appropriate at least as long as the unemployment rate remains above # # # percent inflation between one and two years ahead is projected to be no more than a half percentage point above the committee s # percent longer run goal and longer term inflation expectations continue to be well anchored,1,False
statement_20140129,0,2014-01-29,20,"In determining how long to maintain a highly accommodative stance of monetary policy, the Committee will also consider other information, including additional measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",in determining how long to maintain a highly accommodative stance of monetary policy the committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments,in determining how long to maintain a highly accommodative stance of monetary policy the committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments,1,False
